Job Title,Salary Estimate,Job Description,Company Name,Rating,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Jr Data Scientist (New York),$74K - $182K (Glassdoor est.),"Paramount Global (NASDAQ: PARA, PARAA) is a leading global media and entertainment company that creates premium content and experiences for audiences worldwide. Driven by iconic studios, networks and streaming services, Paramount's portfolio of consumer brands includes CBS, Showtime Networks, Paramount Pictures, Nickelodeon, MTV, Comedy Central, BET, Paramount+, Pluto TV and Simon & Schuster, among others. Paramount delivers the largest share of the U.S. television audience and boasts one of the industry's most important and extensive libraries of TV and film titles. In addition to offering innovative streaming services and digital video products, the company provides powerful capabilities in production, distribution and advertising solutions.
Are you passionate about using data to help drive insights in media and entertainment? Paramount is looking for a Jr. Data Scientist who is excited work on some of the hottest topics in media technology today: big data, data visualization, modeling, machine learning, and most importantly, the translation of data into new products, tools, and insights.

Come join the Data & Decision Sciences Group - a team of data scientists, data engineers, and full stack developers who are using the latest technology to understand our content and audiences. Our ideal candidate is a motivated data scientist who is excited to support Paramount's data strategy by helping to build products for researchers across our core brands including CBS, Nickelodeon, MTV, Comedy Central, Paramount, VH1, BET, Pluto TV, and more! You will work with a wide range of data sets (metered measurement data, syndicated data, survey data, streaming platform data) to mine, analyze, forecast, segment, predict, and ultimately drive insights and build new data delivery tools. You will also gain media industry experience by understanding both Paramount's business needs and existing data assets in order to connect the dots and build innovative and interactive data solutions.


Developing products and tools that allow for easier access to all data and flexible and real time reporting.
Aggregating viewing data to create predictive models for audience growth, programming opportunity, and optimal marketing plans.
Creating data maps and taxonomies from disparate data sets and the development of standardized KPIs/metrics for insights.
Crafting processes and techniques to effectively fuse custom survey data sets to viewing as well as fusing different measurement data sets together.
Construction of data pipelines and architecture to keep our products available and accurate for our stakeholders.


data science, statistics, big data, research (survey and measurement-based), data platform architecture, BI, data visualization, and data automation.
B.A. / B.S. (M.S. or Ph.D. is a plus) in Statistics, Computer Science, Mathematics, Social Sciences, Physics, Computational Biology, Sociology, Cognitive Science, or another quantitative field.
Expertise in Python or SQL.
Interest in creating, building, and architecting data dashboards and platforms in cloud environments.


Experience with statistical techniques, modeling, and machine learning.
R
Tableau
Experience in big data

Paramount is an equal opportunity employer (EOE) including disability/vet.

At Paramount, the spirit of inclusion feeds into everything that we do, on-screen and off. From the programming and movies we create to employee benefits/programs and social impact outreach initiatives, we believe that opportunity, access, resources and rewards should be available to and for the benefit of all. Paramount is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ethnicity, ancestry, religion, creed, sex, national origin, sexual orientation, age, citizenship status, marital status, disability, gender identity, gender expression, and Veteran status.

If you are a qualified individual with a disability or a disabled veteran, you may request a reasonable accommodation if you are unable or limited in your ability to use or access. https://www.paramount.com/careers as a result of your disability. You can request reasonable accommodations by calling 212.846.5500 or by sending an email to viacomaccommodations@viacom.com. Only messages left for this purpose will be returned.",Paramount,3.8,"New York, NY",-1,-1,-1,-1,-1,-1
Lead Data Scientist,Employer Provided Salary:$70 - $75 Per Hour,"About Kanini
Kanini provides Agile Software Development, Cloud Computing, Data Science, and Location Intelligence services to public and private organizations. We have successfully served our clients in government, finance, transportation, utility, and software industries since 2003.
Why you should join
Working at Kanini is flexible and personal. We are a highly motivated, collaborative team experimenting with the latest technologies. We are committed to everyone having a healthy work/life balance, and we provide extensive mentorship and training resources to help you succeed.
Kanini is looking for an experienced Lead Data Scientist who has deep experience in SQL, Python, Hadoop, Map Reduce, Spark, Agile",Kanini Software Solutions,4.0,Remote,-1,-1,-1,-1,-1,-1
"Data Scientist, IMU Specialist",-1,"Data Scientist, IMU specialist
VivoSense: Data Scientist, IMU specialist
Remote (time zone compatible with California)
About VivoSense
Since 2010, VivoSense has been at the forefront of providing advanced clinical tools and services for accurate and reliable at-home monitoring based on complex biosensor data. Working with drug developers, healthcare providers and academics, our novel software and services improve the quality, accuracy, timeliness and ease of data analysis and insight generation from wearable biosensor data. In 2022, VivoSense secured Series A financing, with two primary aims: expansion of our platform and driving the qualification of novel digital monitoring tools. We are seeking talented and motivated individuals to be part of bringing these aims to life.","VivoSense, Inc.",-1.0,Remote,-1,-1,-1,-1,-1,-1
Data Scientist - Customer Experience,-1,"About this role:

Wells Fargo is seeking a Senior Analytics Consultant...

In this role, you will:
Review and research moderately complex business, operational, and technical challenges that require an in-depth evaluation of variable factors
Perform complex financial and economic analysis and model development
Plan, coordinate, and execute primary and secondary customer market projects
Manage or participate on large cross group projects and mentor less experienced staff
Collaborate and consult with peers, colleagues, external contractors, and managers to resolve issues and achieve goals








At Wells Fargo, we believe in diversity, equity and inclusion in the workplace; accordingly, we welcome applications for employment from all qualified candidates, regardless of race, color, gender, national origin, religion, age, sexual orientation, gender identity, gender expression, genetic information, individuals with disabilities, pregnancy, marital status, status as a protected veteran or any other status protected by applicable law.

Employees support our focus on building strong customer relationships balanced with a strong risk mitigating and compliance-driven culture which firmly establishes those disciplines as critical to the success of our customers and company. They are accountable for execution of all applicable risk programs (Credit, Market, Financial Crimes, Operational, Regulatory Compliance), which includes effectively following and adhering to applicable Wells Fargo policies and procedures, appropriately fulfilling risk and compliance obligations, timely and effective escalation and remediation of issues, and making sound risk decisions. There is emphasis on proactive monitoring, governance, risk identification and escalation, as well as making sound risk decisions commensurate with the business unit's risk appetite and all risk and compliance program requirements.

Candidates applying to job openings posted in US: All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.

Candidates applying to job openings posted in Canada: Applications for employment are encouraged from all qualified candidates, including women, persons with disabilities, aboriginal peoples and visible minorities. Accommodation for applicants with disabilities is available upon request in connection with the recruitment process.",WELLS FARGO BANK,3.6,"West Des Moines, IA",-1,-1,-1,-1,-1,-1
Data Scientist,Employer Provided Salary:$50 - $70 Per Hour,"Primary Skills : Random Forest, Machine Learning , Python, Pyspark, Spark ML Lib, Linear Regression, Logistic Regression
Secondary Skills : Time Series Analysis, Time Series
Identify valuable data sources and automate collection processes
Undertake pre-processing of structured and unstructured data
Analyse large amounts of information to discover trends and patterns
Good in feature engineering, encoding techniques
Knowledge and experience in Python Programming or R",Lorvin Technologies,-1.0,"Dallas, TX",-1,-1,-1,-1,-1,-1
Scientist I - Data Review,$61K - $110K (Glassdoor est.),"0069129 Scientist I - Data Review Sign-On Bonus!
Position Summary:
Catalent Biologics is a fast-growing business within Catalent Pharma Solutions focused on providing innovative technologies and solutions to help more and better biologic treatments get to patients. The business includes our proprietary GPEx cell line engineering platform, our new state-of-the-art biomanufacturing facility in Madison, WI, and our market leading biologics analytical services in Kansas City, MO and Research Triangle Park, NC, as well as SMARTag Antibody Drug Conjugate technology in Emeryville, CA. Leveraging our growing differentiated technology portfolio, world class manufacturing capability, and other integrated services across the Catalent network, Catalent Biologics is positioned to drive significant growth for Catalent.
The Quality Control (QC) team is responsible for testing products, raw materials and the manufacturing environment to ensure the Safety, Quality, Identity, Purity and Potency produced by the Catalent Madison Biologics facility",Catalent,3.5,"Madison, WI",-1,-1,-1,-1,-1,-1
Data Scientist,Employer Provided Salary:$130K - $160K,"Job Title: Data Scientist II
Duration: 6-month CTH
Location: Phoenix, AZ / Remote to start but would like them in Phoenix eventually when they go permanent. 25%-50% travel prior to relocation and converting to perm.
Essential Functions % of Time
Lead the creation of ML and AI solutions. Techniques include ML, NLP, video analytics, streaming analytics, and GPU-accelerated edge computing. | 40% |
Apply your skills to test hypotheses and draw insights to support our goal of industry-leading, resource-efficient copper mining. | 20% |
Utilize modern cloud technologies, such as Microsoft Azure, to deliver innovative analytics solutions at scale and craft the policies to support them as a thought leader. Employ best practices for containerization, version control, CI/CD, and DevOps/MLOps. | 10% |",Norwin LLC,-1.0,"Phoenix, AZ",-1,-1,-1,-1,-1,-1
Data Scientist,Employer Provided Salary:$130K - $160K,"Piper Companies is seeking a Data Scientist, in a hybrid environment to join a cutting-edge Technology and AI oriented company as a permanent/internal employee. The Data Scientist will support machine learning research and development to further develop the production inference pipeline.

Responsibilities of the Data Scientist include:
Support Machine Learning R&D through data collection, signal processing, and data mining/analysis
Research for state-of-the-art gesture clarification algorithms using IMU and biopotential sensor data
Develop code and tools in Python to test and characterize performance and limitations of different gesture classification models",Piper Companies,4.4,"Boston, MA",-1,-1,-1,-1,-1,-1
VP Data Science,$94K - $203K (Glassdoor est.),"Paramount Global (NASDAQ: PARA, PARAA) is a leading global media and entertainment company that creates premium content and experiences for audiences worldwide. Driven by iconic studios, networks and streaming services, Paramount's portfolio of consumer brands includes CBS, Showtime Networks, Paramount Pictures, Nickelodeon, MTV, Comedy Central, BET, Paramount+, Pluto TV and Simon & Schuster, among others. Paramount delivers the largest share of the U.S. television audience and boasts one of the industry's most important and extensive libraries of TV and film titles. In addition to offering innovative streaming services and digital video products, the company provides powerful capabilities in production, distribution and advertising solutions.
Overview & Responsibilities

The Advanced Media team sits within the larger Technology organization at Paramount, supporting the Ad Sales organization and other verticals within the Paramount business. At the core, we are a data-driven team that uses data to build strategic efficiencies and empower our client teams with innovative offerings. We are passionate about developing data products that not only get used across the company, but also get talked about in the press for innovation. We are looking for a hardworking and skilled VP of Data Science to help deliver data science solutions at scale and lead a small but skilled group of other Data Scientists. You will lead statistical analysis projects, design, prototype and implement innovative machine learning projects, and data science experiments. In addition, you will work closely with a multidisciplinary team of data scientists, data engineers, and software engineers and others to deliver on our KPIs. Responsibilities
Research and implement data science approaches, and undertake data exploration analysis to help tackle business problems
Generate data driven insights through exploratory data analysis on first, second, and third-party data
Design and implement statistical experiments
Build machine learning models
Lead machine learning model evaluation design
Participate in data governance and evangelize data science standards within the company
Partner with product teams to define project evaluation KPIs both for your practice and your team
Define, evaluate and monitor product performance metrics, understanding root cause of changes
Mentor and coach both senior and jr data scientists
Lead and maintain team’s data science code repository
Basic Qualifications
Proficiency in python programming language
Understanding of integrating ML/AI insights into front-end applications
Experience leading a team of other Data Scientists
Additional Qualifications

6+ years’ experience building and deploying data science systems at scale
Acute understanding of relational database management systems and proficiency in writing SQL queries
Hands on experience with ML algorithms and optimization techniques
Media experience a plus but not required
6+ years’ experience with cloud architecture including AWS, GCP and Azure and development methods
Strong written and oral communication skills, being able to communicate insights to technical and non-technical audiences
Knowledge of R programming language
Bachelors, Masters or PhD in STEM field preferred
Paramount is an equal opportunity employer (EOE) including disability/vet.
At Paramount, the spirit of inclusion feeds into everything that we do, on-screen and off. From the programming and movies we create to employee benefits/programs and social impact outreach initiatives, we believe that opportunity, access, resources and rewards should be available to and for the benefit of all. Paramount is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ethnicity, ancestry, religion, creed, sex, national origin, sexual orientation, age, citizenship status, marital status, disability, gender identity, gender expression, and Veteran status.
If you are a qualified individual with a disability or a disabled veteran, you may request a reasonable accommodation if you are unable or limited in your ability to use or access www.viacbs.com/careers as a result of your disability. You can request reasonable accommodations by calling 212.846.5500 or by sending an email to viacomaccommodations@viacom.com. Only messages left for this purpose will be returned.",Paramount,3.8,"New York, NY",-1,-1,-1,-1,-1,-1
Senior Data Scientist,Employer Provided Salary:$155K - $170K,"Piper Companies is seeking a Senior Data Scientist to support machine learning research and development through data collection, signal processing, data mining/analysis, and model research. The Senior Data Scientist will collect/gather data used for training/tuning models and for performing benchmarking tests on these models to predict real-time performance.

Responsibilities of the Senior Data Scientist include:
Research for state-of-the-art gesture classification algorithms using IMU and biopotential sensor data with conventional ML and deep learning AI techniques
Develop code and tools in Python to test and characterize performance and limitations of different gesture classification models
Perform data mining and data characterization to generate metrics and methods for evaluating performance of the real-time gesture inference pipeline",Piper Companies,4.4,Remote,-1,-1,-1,-1,-1,-1
